wals_code,31A,118A,30A,119A,29A,85A,28A,32A,83A,86A,40A,39A,10A,47A,73A,121A,18A,21A,84A,57A,89A,9A,90A,63A,61A,66A,79A,42A,99A,44A,87A,13A,125A,111A,50A,69A,51A,98A,127A,54A,94A,122A,7A,88A,93A,62A,26A,129A,33A,80A,48A,49A,53A,55A,6A,123A,104A,25A,27A,65A,109A,46A,117A,100A,
dsh,,,,,,2,,,2,1,,,,1,2,,,,1,4,1,,1,,,,,,,,1,,,,,2,1,,,,1,,,1,1,,2,2,2,,,,7,,,,,,,,,,,,
bsq,1,2,1,1,3,1,2,1,1,1,3,3,2,2,2,4,1,1,3,4,1,3,2,1,2,1,1,1,6,6,2,1,3,2,6,4,6,6,2,4,2,4,1,2,2,1,4,2,8,1,2,8,6,1,1,5,3,5,3,1,8,1,5,3,
lit,,2,,2,,2,,,2,1,,,,2,,,1,,,,1,,1,1,,,,1,,,1,,,,3,2,1,,,5,1,,1,1,1,,2,1,2,,,6,7,,1,,,,,,,1,,,
bul,,2,,2,,2,,,2,3,,,,2,2,,1,,1,4,1,,1,1,,1,1,,,,1,1,,,3,2,9,,,5,1,1,1,1,1,3,2,,2,1,,1,7,1,1,1,,,,1,,1,,,
uzb,1,2,1,2,,,,1,1,1,,,,,,1,,,,2,1,2,2,1,,,,,,,1,,,2,,2,1,,,,1,,,1,2,,2,1,2,,,,4,,,,,,,,8,1,1,,
est,,2,,2,,1,,,2,1,,,,,2,,,,1,,1,,1,1,,,,,,,1,,,,2,2,1,,,,1,,,1,1,6,2,,2,,,8,7,,,,,,,,,1,,,
hin,2,2,2,2,2,1,3,3,1,1,1,3,1,1,2,1,1,1,,,1,3,4,1,6,1,3,,5,6,1,1,,2,,2,1,5,2,2,1,2,1,1,2,2,2,,2,1,2,,6,1,1,2,1,5,1,1,8,3,1,2,
glc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
aze,,,,,,,,,1,1,,,,,1,,1,,,2,1,3,,,,1,,,,,1,1,,,,2,1,,,,,,1,,2,,2,1,2,,,,5,2,1,,,,,1,,1,,,
occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
tha,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,5,1,4,2,1,1,1,2,4,4,,1,6,2,3,,1,1,5,9,1,,1,1,4,1,2,2,6,1,2,,1,2,1,5,3,1,4,1,5,1,2,8,1,3,1,
geo,1,2,1,2,3,1,3,1,1,1,2,3,2,1,1,1,1,1,,4,1,3,1,1,2,1,3,3,1,6,1,1,2,2,4,2,1,6,1,2,1,1,2,1,2,3,3,1,2,2,2,6,6,1,4,1,3,5,1,1,3,1,5,2,
mcd,,,,,,2,,,2,3,,,,,,,,,,,,,,,,,1,,,,1,,,,,2,,,,,,,,1,,,,,,1,,,7,,,,,,,,,,,,
tag,2,1,2,1,1,,1,2,2,2,1,5,2,2,1,,1,3,,,1,1,1,1,2,4,4,1,1,6,3,1,3,2,3,1,,1,2,7,1,4,1,6,1,2,1,2,7,1,1,1,6,1,1,5,1,5,1,1,3,5,3,1,
tml,2,2,3,2,,1,,2,1,1,,,,1,,1,,,3,,1,,2,1,,1,,3,,,1,,3,2,,2,1,,3,2,4,,,1,2,1,2,1,2,,,,6,,,,,,1,2,8,1,1,,
tel,,2,,2,,1,,,1,1,,,,1,2,1,1,,,,1,,2,,,,,,,,1,1,,2,,2,1,,,,5,,1,1,2,,2,,2,,,,,,1,,,,,,,,,,
tvo,,2,,2,,1,,,1,1,,,,,,,,,,2,1,2,2,,2,,,,,,1,,,,,2,1,,,4,1,,,1,,,2,1,2,,,,4,2,,,,,,,,1,,,
lat,2,2,2,2,2,2,3,3,2,1,3,3,2,2,2,4,1,,,4,1,3,1,1,,1,1,1,2,2,1,2,,2,6,4,1,2,,5,1,1,1,1,1,4,3,,2,1,2,5,7,1,1,1,1,,,2,8,1,1,2,
wel,,2,,1,,2,,,2,2,,,,1,,,,,1,,1,,1,,,,,2,,3,2,,,,1,2,9,,,,1,,,2,1,3,2,2,2,,3,1,7,,,,1,,3,,,,1,2,
alb,,2,,2,,2,,,2,2,,,,,1,4,1,,,4,1,3,1,1,5,,,,,2,2,1,,,6,2,1,,,5,1,,1,1,,3,2,,2,,2,4,6,1,1,,3,,,,,,5,2,
bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mal,1,1,1,1,3,2,1,1,2,2,1,5,2,1,2,4,1,1,1,4,2,1,1,1,5,4,4,1,2,6,2,1,1,2,3,1,7,2,1,6,1,4,1,5,1,,1,2,9,1,3,1,6,1,1,5,1,5,1,1,3,2,5,1,
bre,,2,,2,,2,,,2,2,,,,,,1,1,,,2,1,,1,1,,,,,,,2,1,,,,2,7,,,,1,,1,2,1,,3,2,2,,,,7,,1,,,,,,,,1,,
jav,,,,,,,,,,,,,,,,4,1,,,,,,,,5,4,,,,,,1,,,,,,,,7,,,1,,,,,,,,,,,2,1,,,,,2,,,,,
mhi,2,,3,,,1,,3,1,1,,,,1,,1,,,,,1,,2,,,,,1,2,,1,,3,2,2,2,1,5,2,2,4,,,1,2,,2,1,,,,5,,1,,,,,,,,1,,,
ice,2,2,3,2,,2,,3,2,2,,,,2,2,,,,,4,1,,1,1,,1,,,,,1,,,,6,2,1,,,,,,,1,,5,2,,2,,,4,7,,,,,2,,2,8,1,,,
mym,,2,,1,,,,,1,1,,,,1,2,,,,,,1,,2,,,,,3,,,1,,3,2,2,,,,2,2,,,,1,2,,,1,,,,6,5,1,,,,,2,,,1,,,
brm,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,6,,2,1,2,2,2,4,4,,2,3,2,3,,4,2,2,1,2,,4,4,4,1,1,2,5,2,,7,1,2,7,8,3,1,4,1,2,2,2,8,,1,1,
bsk,,,,,,1,,,1,1,,,,,2,,1,,,2,1,2,2,,,,,,,,1,1,,,,2,1,,,4,1,,1,1,,,2,,2,,,,4,,4,,,,,,,1,,,
yor,1,1,1,1,1,2,4,1,2,2,1,3,1,2,2,2,1,1,,4,2,3,1,2,,4,4,1,2,6,2,3,1,1,1,5,9,1,1,2,1,3,1,2,1,7,1,,7,1,2,1,4,1,1,,1,5,1,2,8,2,5,1,
afr,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,2,,,,,6,,,,,,,2,,,,,
ben,,2,,2,,,,,1,,,,,1,,,1,,3,,,,,,,1,3,,,,,1,,,,,1,,,2,,,1,,,,,,,1,,,6,3,1,,,,,2,,,2,,
cnt,1,,1,,,4,,1,2,1,,,,1,,,1,,2,4,1,1,2,,6,4,4,1,,,1,3,,,,2,9,,,1,5,,1,1,2,8,1,2,9,1,,,4,3,1,,,,,1,,3,,,
urd,,,,,,1,,,1,1,,,,,2,,,,,,1,,4,,,,,1,,,1,,,,3,2,9,,,,1,,,1,2,,2,,2,,,2,,,,,,,,,,,,,
swa,3,3,5,2,2,2,1,3,2,2,3,3,2,2,2,2,1,5,,2,2,1,1,2,2,1,4,1,1,2,2,1,,2,1,1,5,1,,2,1,4,1,2,2,2,5,1,1,1,2,1,7,1,1,5,2,5,1,2,3,2,4,2,
iri,,2,,1,2,2,3,,2,2,3,3,2,1,2,4,,,1,4,1,3,1,1,5,,3,1,2,3,2,,2,1,2,4,5,1,2,,1,4,,2,1,6,4,2,6,1,3,2,7,,,3,1,,3,,,2,1,2,
kgz,1,,1,,,1,,1,,,,,,,,,1,,,2,1,2,,,,,,,,,1,1,,,,2,1,,,4,,,1,,,,2,2,2,,,,4,,2,,,,,,8,1,,,
nep,,2,,1,,1,,,1,1,,,,,1,,1,,,,1,,,,,,,,,,1,1,,,,2,1,,,,2,,1,1,2,1,2,2,2,,,,,,1,,,2,,,,,2,,
guj,,,,,,1,,,1,,,,,1,2,,,,,,1,3,,,,,,,,,1,,,2,,2,,,,,1,,,1,2,,,,,,,,6,,,,,,,,,,,,
taj,,,,,,2,,,1,2,,,,,,1,,,,4,1,,1,,,,,,,,2,,,,,4,9,,,,1,,,1,,,3,,2,,,,,,,,,,,,,1,5,,
chv,1,,1,,,1,,1,1,1,,,,,2,,1,,4,2,1,3,2,,,,,,,,1,1,,2,2,2,1,,,4,2,,1,1,2,,2,,2,,,6,4,1,1,,,,,,,1,,,
ast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sun,,1,,1,,2,,,2,2,,,,,,,,,,,1,,1,,,4,,,,6,2,,,2,,5,9,,,,1,,,2,2,,1,,5,,2,,,,,,1,,1,2,,,,1,
knd,2,2,3,2,2,1,4,2,1,1,3,3,2,1,2,,1,1,,4,1,3,7,1,,1,1,3,2,2,1,1,3,2,2,2,1,2,3,2,5,4,1,1,2,6,2,2,2,1,2,6,5,1,1,4,1,2,1,2,1,1,1,2,
amh,2,2,2,2,,4,,3,1,1,,,,1,,1,1,,,2,1,3,2,1,,1,,,,1,1,1,,2,2,4,1,,,2,2,,2,1,2,2,3,1,2,,3,2,,1,1,,2,,1,2,,,1,2,
ydd,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpm,,1,,1,,2,,,2,2,,,,,,,,,1,,1,,1,,,,,,,6,3,,,,,4,,,,,,,,,1,,,,,,2,,,,,,2,,1,,,,,3,
